Industry,2024,2025
All Industries,24.4,27.5
Manufacturing,83.8,92.0
Metalworking,198,197
Manufacture of Transport Equipment,236,120
Manufacture of Petroleum Products & Chemical Products,n.a.,n.a.
"Manufacture of Food, Beverages & Tobacco",15.7,40.4
"Manufacture of Computer, Electronic &Optical Products",15.5,30.5
Construction,17.7,16.0
Transportation& Storage,16.6,27.2
Logistics & Transport,21.3,44.9
Marine,79.8,103
Accommodation &Food Service Activities,14.4,10.7
Food & Beverage Service Activities,9.3,6.8
Accommodation,50.6,37.6
Wholesale & Retail Trade,9.9,9.1
Wholesale Trade,11.1,5.8
Retail Trade,7.7,15.5
"Professional, Scientific & Technical Activities",15.7,16.9
Administrative& Support Service Activities,7.6,9.5
"Office Administrative, Office Support and Other Business Support Activities",n.a.,n.a.
Cleaning & Landscape Maintenance Activities,4.8,8.1
Security & Investigation Activities,2.0,18.1
Financial & Insurance Services,2.5,4.6
"Electricity, Gas & Air-Conditioning Supply",n.a.,n.a.
"Water Supply; Sewerage, Waste Management &Remediation Activities",n.a.,n.a.
Real Estate Activities,13.5,14.1
Information & Communications,0.5,2.8
"Community, Social & Personal Services",28.4,33.9
Health & Social Services,74.2,85.5
Other Services Activities,n.a.,n.a.
Education,n.a.,n.a.
"Arts, Entertainment &Recreation",5.4,10.3
Total,899,"1,028"
Noise-induced Hearing Loss,519,550
NIHL (E) - Early,445,446
NIHL (A) - Advanced,7,2
Work-related Musculoskeletal Disorders,249,317
Back injuries due to ergonomic risks,229,268
Tendinitis,4,11
Trigger Finger/Thumb,1,1
"Nerve Disorder such as Carpal Tunnel Syndrome, Cubital Tunnel Syndrome",0,1
Lateral Epicondylitis (Tennis elbow),1,3
Tenosynovitis,1,2
Others,13,31
Occupational Skin Disease,94,117
Eczema,80,91
Others,14,26
Compressed Air Illness,3,1
CAI Type 1,1,1
CAI Type 2,2,0
Cancers,2,2
Mesothelioma,2,2
Occupational Lung Disease,3,4
Occupational Asthma,1,1
Silicosis,1,2
Asbestosis,1,1
Infectious Disease,0,0
Heat Disorder &Diseases caused by excessive heat,1,13
Barotrauma,3,10
Aural,2,8
Sinus,1,1
Others,25,14
All Industries,519,550
Manufacturing,318,339
Metalworking,194,189
Manufacture of Transport Equipment,63,31
Manufacture of Petroleum Products & Chemical Products,20,33
Marine,44,59
Construction,60,53
Transportation& Storage,28,36
Logistics & Transport,10,19
"Professional, Scientific & Technical Activities",39,17
Wholesale & Retail Trade,19,17
Wholesale Trade,19,12
Retail Trade,0,5
Administrative& Support Service Activities,6,7
Security & Investigation Activities,0,6
Financial & Insurance Services,0,6
"Water Supply; Sewerage, Waste Management &Remediation Activities",2,3
"Electricity, Gas & Air-Conditioning Supply",0,3
"Community, Social & Personal Services",3,8
Other Services Activities,3,6
Health & Social Services,0,2
