Industry,2024,2025
All Industries,899,"1,028"
Manufacturing,357,396
Metalworking,205,202
Manufacture of Transport Equipment,67,36
Manufacture of Petroleum Products & Chemical Products,23,35
"Manufacture of Food, Beverages & Tobacco",10,27
"Manufacture of Computer, Electronic &Optical Products",12,24
Construction,95,90
Transportation& Storage,44,73
Logistics & Transport,25,52
Marine,49,66
Accommodation &Food Service Activities,39,29
Food & Beverage Service Activities,22,16
Accommodation,17,13
Wholesale & Retail Trade,45,41
Wholesale Trade,33,17
Retail Trade,12,24
"Professional, Scientific & Technical Activities",45,48
Administrative& Support Service Activities,19,24
"Office Administrative, Office Support and Other Business Support Activities",9,6
Cleaning & Landscape Maintenance Activities,4,7
Security & Investigation Activities,1,9
Financial & Insurance Services,6,11
"Electricity, Gas & Air-Conditioning Supply",1,6
"Water Supply; Sewerage, Waste Management &Remediation Activities",4,7
Real Estate Activities,11,11
Information & Communications,1,5
"Community, Social & Personal Services",180,221
Health & Social Services,158,190
Other Services Activities,8,15
Education,10,9
"Arts, Entertainment &Recreation",3,6
