0,1
Figure 6a:,"Number and rate of workplace minor injuries, 2018-2025"
Figure 6b:,"Number and rate of workplace minor injuries for the new series by fatality risk, 2021-2025"
Figure 6c:,"Number and rate of workplace minor injuries for the former series by fatality risk, 2018-2025"
Figure 6d:,"Number of workplace minor injuries by cause of injury, 2018-2025"
Figure 6e:,"Number of workplace minor injuries by industry, 2018-2025"
Figure 7a:,"Number of dangerous occurrences, 2018-2025"
Figure 7b:,"Number of dangerous occurrences by industry, 2018-2025"
Figure 8a:,"Number and rate of occupational diseases, 2018-2025"
Figure 8b:,"Number of occupational diseases by industry, 2018-2025"
Figure 8c:,"Number of occupational diseases by type, 2018-2025"
Figure 8d:,"Number and rate of noise-induced hearing loss, 2018-2025"
Figure 8e:,"Number and rate of work-related musculoskeletal disorders, 2018-2025"
Figure 9:,"Number of companies entering and exiting surveillance, 2018-2025"
Figure 10a:,"Number of workers under medical surveillance, 2018-2025"
Figure 10b:,"Number of workplaces under medical surveillance, 2018-2025"
Figure 10c:,"Medical monitoring for noise exposure by Top five industries, 2025"
Figure 10d:,"Medical monitoring for chemical exposure by Top five industries, 2025"
Figure 11a:,"Static noise monitoring results by industry, 2023-2025"
Figure 11b:,"Personal noise exposure results by industry, 2023-2025"
Figure 11c:,"Chemical exposure results by industry, 2025"
