0,1,2
3.1,Growth rate of MVA by country group and region . . . . . . . . . . . . . . . . . .,43
3.2,Quarter-over-quarter growth rates of global production by manufacturing industry,51
3.3,Leading manufacturers for selected ISIC divisions (World) . . . . . . . . . . . . .,60
4.1,Growth rate of MUVA by country group and region . . . . . . . . . . . . . . . . . .,90
5.1,Relevant standards for industrial statistics . . . . . . . . . . . . . . . . . . . . . .,122
A.1,"Industrial indicators by country/area, latest available year . . . . . . . . . . . . .",133
A.2,"Industrial indicators by country/area group, latest available year . . . . . . . . .",140
E.1.1,ISIC Rev. 4 B - Mining and quarrying . . . . . . . . . . . . . . . . . . . . . . . . .,161
E.1.2,ISIC Rev. 4 C - Manufacturing . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,162
E.1.3,"ISIC Rev. 4 D - Electricity, gas, steam and air conditioning supply . . . . . . . . .",164
E.1.4,"ISIC Rev. 4 E - Water supply; sewerage, waste management and remediation activities",164
E.2.1,Medium-high and high technology manufacturing industries by ISIC Rev. 3 and 4,165
E.2.2,Medium and high technology commodities by SITC Rev. 3 . . . . . . . . . . . . .,166
E.3.1,Country/area classification by geographical region . . . . . . . . . . . . . . . . .,169
E.4.1,Country/area classification by stage of industrial development . . . . . . . . . .,170
E.5.1,List of countries/areas: Emerging industrial economies . . . . . . . . . . . . . . .,171
E.5.2,List of countries/areas: Least developed countries (LDCs) . . . . . . . . . . . . .,171
E.5.3,List of countries/areas: Landlocked developing countries (LLDCs) . . . . . . . . .,171
E.5.4,List of countries/areas: Small island developing States (SIDS) . . . . . . . . . . .,172
E.5.5,List of countries/areas: BRICS . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,172
E.5.6,List of countries/areas: United States Mexico Canada Agreement (USMCA) . . . .,172
E.5.7,List of countries/areas: Southern Common Market (MERCOSUR) . . . . . . . . . .,172
E.5.8,List of countries/areas: European Union . . . . . . . . . . . . . . . . . . . . . . .,172
E.5.9,List of countries/areas: African Union . . . . . . . . . . . . . . . . . . . . . . . .,173
E.5.10,List of countries/areas: Gulf Cooperation Council (GCC) . . . . . . . . . . . . . . .,173
E.5.11,List of countries/areas: Eurasian Economic Union (EAEU) . . . . . . . . . . . . . .,173
E.5.12,List of countries/areas: South Asian Association for Regional Cooperation (SAARC),173
E.5.13,List of countries/areas: Regional Comprehensive Economic Partnership (RCEP) .,173
