Sector.,Industry/Activity.Overall,2024.166,2025.148
Construction,Smaller Scale Works (e.g. Addition& Alteration works and Renovation),103,95
,Regular Construction,60,45
,Work-related Traffic Accidents (WRTA),3,8
,Overall (v),125,124
,Metalworking,48,37
Manufacturing,Manufacturing Food& Beverages,33,40
Manufacturing,Furniture Making,6,12
Manufacturing,Petroleum Products & Chemical Products,6,7
Manufacturing,Paper/ Rubber/ Plastic Products & Printing,4,7
,Overall,49,64
Transportation &Storage,Work-related Traffic Accidents (WRTA),3,9
Transportation &Storage,Excluding WRTA,46,55
