,2022.Per cent,2023.Per cent,2024.Per cent,2025f.Per cent
World UNIDO groups by stage of industrial development,0.9,3.6,1.0,0.8
High-income industrial economies,-2.8,5.9,1.1,0.5
High-income industrializing economies,11.7,-3.6,0.0,1.6
Middle-income industrial economies,2.3,3.4,0.5,-0.3
Middle-income industrial economies (excl. China),-0.1,1.0,1.3,1.1
China,3.1,4.2,0.2,-0.7
Middle-income industrializing economies,1.4,2.7,2.1,2.2
Low-income economies Main regions,10.4,7.8,2.7,6.6
Africa,-1.0,2.2,1.0,3.2
Asia and Oceania,4.3,1.6,0.5,0.8
Europe,-6.8,0.1,0.6,-1.6
Latin America and the Caribbean,3.2,3.4,4.6,2.2
Northern America,-1.8,13.2,1.5,1.6
