Type A.Incident Type (Cause),2025,Type B.Incident Type (Cause),2025
Accommodation &Food Services,,,
Vehicular Incidents,25,"Slips, Trips &Falls",25
Falls from Height,11,Exposure to/ Contact with Extreme Temperature,11
,5,Exposure to/ Contact with Electric Current,5
,5,Machinery Incidents,5
Administrative &Support Services,,,
Falls from Height,23,"Slips, Trips &Falls",23
Vehicular Incidents,3,Striking Against Objects,3
,3,Over-exertion/ Strenuous Movements,3
Wholesale &Retail Trade,,,
Falls from Height,13,"Slips, Trips &Falls",13
Vehicular Incidents,3,Machinery Incidents,3
