Industry,2024,2025
All Industries,19,23
Construction,5,4
Manufacturing,8,10
Manufacture of Petroleum Products & Chemical Products,4,3
"Manufacture of Food, Beverages & Tobacco",1,3
Metalworking,2,2
"Manufacture of Computer, Electronic &Optical Products",0,1
Manufacture of Other Non-Metallic Mineral Products,0,1
Manufacture of Paper / Rubber / Plastic Products & Printing,1,0
Transportation& Storage,3,5
Logistics & Transport,3,5
"Electricity, Gas & Air-Conditioning Supply",0,1
Wholesale & Retail Trade,1,0
Wholesale Trade,1,0
Real Estate Services,1,0
"Community, Social & Personal Services",1,1
"Arts, Entertainment &Recreation",1,0
