0,1,2,3
High-income industrial economies,High-income industrial economies,High-income industrial economies,High-income industrial economies
Australia,Estonia,Liechtenstein,Romania
Austria,Finland,Lithuania,Russian Federation
Bahrain,France,Luxembourg,San Marino
Belgium,Germany,Malta,Singapore
Bulgaria,Greece,Nauru,Slovakia
Canada,Hungary,Netherlands (Kingdom of the),Slovenia
Chile,Iceland,New Zealand,Spain
"China, Taiwan Province",Ireland,Norway,Sweden
Croatia,Israel,Poland,Switzerland
Cyprus,Italy,Portugal,United Kingdom
Czechia,Japan,Puerto Rico,United States of America
Denmark,Latvia,Republic of Korea,Uruguay
High-income industrializing economies,High-income industrializing economies,High-income industrializing economies,High-income industrializing economies
Andorra,Brunei Darussalam,Guyana,Qatar
Anguilla,Cayman Islands,Kuwait,Saint Kitts and Nevis
Antigua and Barbuda,"China, Hong Kong SAR",Monaco,Saudi Arabia
Aruba,"China, Macao SAR",Montserrat,Seychelles
Bahamas,Cook Islands,New Caledonia,Sint Maarten (Dutch part)
Barbados,Curaçao,Oman,Trinidad and Tobago
Bermuda,French Polynesia,Palau,Turks and Caicos Islands
British Virgin Islands,Greenland,Panama,United Arab Emirates
Middle-income industrial economies,Middle-income industrial economies,Middle-income industrial economies,Middle-income industrial economies
Belarus,Costa Rica,Mauritius,South Africa
Bosnia and Herzegovina,Dominican Republic,Mexico,Thailand
Brazil,Eswatini,North Macedonia,Türkiye
China,Malaysia,Serbia,Viet Nam
Middle-income industrializing economies,Middle-income industrializing economies,Middle-income industrializing economies,Middle-income industrializing economies
Albania,Egypt,Lao People's Democratic Republic,Saint Vincent and the Grenadines
Algeria,El Salvador,Lebanon,Samoa
Angola,Equatorial Guinea,Lesotho,Sao Tome and Principe
Argentina,Fiji,Libya,Senegal
Armenia,Gabon,Maldives,Solomon Islands
Azerbaijan,Georgia,Marshall Islands,Sri Lanka
Bangladesh,Ghana,Mauritania,State of Palestine
Belize,Grenada,Micronesia (Federated States of),Suriname
Benin,Guatemala,Mongolia,Tajikistan
Bhutan,Guinea,Montenegro,Timor-Leste
Bolivia (Plurinational State of),Haiti,Morocco,Tonga
Botswana,Honduras,Myanmar,Tunisia
Cabo Verde,India,Namibia,Turkmenistan
Cambodia,Indonesia,Nepal,Tuvalu
Cameroon,Iran (Islamic Republic,Nicaragua,Ukraine
Colombia,Iraq,Nigeria,United Republic of Tanzania
Comoros,Jamaica,Pakistan,Uzbekistan
Congo,Jordan,Papua New Guinea,Vanuatu
Cuba,Kazakhstan,Paraguay,Venezuela (Bolivarian Republic of)
Côte d'Ivoire,Kenya,Peru,Zambia
Djibouti,Kiribati,Philippines,Zimbabwe
Dominica,Kosovo,Republic of Moldova,
Ecuador,Kyrgyzstan,Saint Lucia,
Low-income economies,Low-income economies,Low-income economies,Low-income economies
Afghanistan,Eritrea,Mali,Sudan
Burkina Faso,Ethiopia,Mozambique,Syrian Arab Republic
Burundi,Gambia,Niger,Togo
Central African,Guinea-Bissau,Rwanda,Uganda
Republic Chad,Liberia,Sierra Leone,Yemen
Democratic People's Republic of Korea,Madagascar,Somalia,
Democratic Republic of the Congo,Malawi,South Sudan,
