Progress by innovation with reliable industrial statistics,Progress by innovation with reliable industrial statistics,1
1 Introduction,1 Introduction,2
Preface . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Preface . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,3
What are industrial statistics? . . . . . . . . . . . . . . . . . . . . . . . . . . .,What are industrial statistics? . . . . . . . . . . . . . . . . . . . . . . . . . . .,4
Why is industry important? . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Why is industry important? . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,5
Industrial Statistics: Data and Visualizations,Industrial Statistics: Data and Visualizations,
,,10
2 Global industrial statistics,2 Global industrial statistics,11
sectors,sectors,
Recent trends in industrial . . . . . . . . . . . . . . . . . . . . . . . .,Recent trends in industrial . . . . . . . . . . . . . . . . . . . . . . . .,13
SDG 9 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,SDG 9 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,20
Competitive industrial performance . . . . . . . . . . . . . . . . . . . . . . . .,Competitive industrial performance . . . . . . . . . . . . . . . . . . . . . . . .,32
Spotlight on manufacturing,Spotlight on manufacturing,40
Current trends and distribution of world manufacturing . . . . . . . . . . . .,Current trends and distribution of world manufacturing . . . . . . . . . . . .,42
Structure and transformation of manufacturing industries . . . . . . . . . . .,Structure and transformation of manufacturing industries . . . . . . . . . . .,52
The manufacturing sector trade . . . . . . . . . . . . . . . . . . . . . . . . . .,The manufacturing sector trade . . . . . . . . . . . . . . . . . . . . . . . . . .,61
Manufacturing employment and labour productivity . . . . . . . . . . . . . .,Manufacturing employment and labour productivity . . . . . . . . . . . . . .,72
Gender and manufacturing . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Gender and manufacturing . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,77
Environmental impact of manufacturing . . . . . . . . . . . . . . . . . . . . .,Environmental impact of manufacturing . . . . . . . . . . . . . . . . . . . . .,82
Mining and utilities in the spotlight,Mining and utilities in the spotlight,87
Current trends and distribution of world mining and utilities . . . . . . . . . .,Current trends and distribution of world mining and utilities . . . . . . . . . .,89
Structure and transformation of mining and utilities industries . . . . . . . .,Structure and transformation of mining and utilities industries . . . . . . . .,96
Environmental impact of mining and utilities . . . . . . . . . . . . . . . . . .,Environmental impact of mining and utilities . . . . . . . . . . . . . . . . . .,108
5 Industrial statistics for a sustainable industrial future,5 Industrial statistics for a sustainable industrial future,110
Transformations shaping the industrial landscape . . . . . . . . . . . . . . . .,Transformations shaping the industrial landscape . . . . . . . . . . . . . . . .,112
Aligning industrial statistics with future needs . . . . . . . . . . . . . . . . . .,Aligning industrial statistics with future needs . . . . . . . . . . . . . . . . . .,119
Cross-cutting challenges in the production of industrial statistics . . . . . . .,Cross-cutting challenges in the production of industrial statistics . . . . . . .,125
Conclusion and the forthcoming revision of the international standards for indus- trial statistics . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Conclusion and the forthcoming revision of the international standards for indus- trial statistics . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,129
Annexes,Annexes,131
A Key industrial indicators,A Key industrial indicators,132
Explanatory notes,Explanatory notes,142
Overview of methodological aspects,Overview of methodological aspects,144
UNIDO Statistics and the International Yearbook of Industrial Statistics,UNIDO Statistics and the International Yearbook of Industrial Statistics,158
UNIDO Statistics . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,UNIDO Statistics . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,158
The International Yearbook of Industrial Statistics . . . . . . . . . . . .,The International Yearbook of Industrial Statistics . . . . . . . . . . . .,159
Classifications,Classifications,161
International Standard Industrial Classification of All Economic Activities,International Standard Industrial Classification of All Economic Activities,161
List of higher technology industries and traded commodities . . . . . .,List of higher technology industries and traded commodities . . . . . .,165
Country/area classification by geographical region . . . . . . . . . . . .,Country/area classification by geographical region . . . . . . . . . . . .,169
Country/area classification by stage of industrial development . . . . .,Country/area classification by stage of industrial development . . . . .,170
Other common country/area groups . . . . . . . . . . . . . . . . . . . .,Other common country/area groups . . . . . . . . . . . . . . . . . . . .,171
References,References,174
Concepts and definitions,Concepts and definitions,188
