Incident Type (Cause),Incident Agent,2024,2025
Total Workplace Fatal Injuries for Type A,Total Workplace Fatal Injuries for Type A,38,34
Vehicular Incidents,Total,11,15
- Work-related Traffic Accidents,Subtotal,4,6
- Work-related Traffic Accidents,Vehicles - Transport Equipment,4,6
- In Workplaces,Subtotal,7,9
- In Workplaces,Vehicles - Transport Equipment,4,7
- In Workplaces,Vehicles - Industrial Trucks,1,1
- In Workplaces,Vehicles - Excavators,0,1
- In Workplaces,Vehicles - Forklifts,2,0
Falls From Height,Total,4,7
Falls From Height,Means of Access - Ladders,0,2
Falls From Height,Physical Workplace - Structures,1,1
Falls From Height,Physical Workplace - Roofs,1,1
Falls From Height,Physical Workplace - Formwork,0,1
Falls From Height,Physical Workplace - Floors/Level Surfaces,1,1
Falls From Height,Means of Access - Others,1,0
Falls From Height,Other Incident Agents,0,1
Collapse/Failure of Structure& Equipment,Total,6,6
Collapse/Failure of Structure& Equipment,Physical Workplace - Structures,5,2
Collapse/Failure of Structure& Equipment,Vehicles - Industrial Trucks,0,1
Collapse/Failure of Structure& Equipment,Vehicles - Forklifts,0,1
Collapse/Failure of Structure& Equipment,Material & Substances - Metal Items,0,1
Collapse/Failure of Structure& Equipment,Lifting Equipment - Mobile Work Platform,0,1
Collapse/Failure of Structure& Equipment,Physical Workplace - Formwork,1,0
Struck By Falling Objects,Total,5,2
Struck By Falling Objects,Material & Substances - Metal Items,2,2
Struck By Falling Objects,Vehicles - Excavators,1,0
Struck By Falling Objects,Physical Workplace - Formwork,1,0
Struck By Falling Objects,Lifting Equipment - Others,1,0
