Industry/ Work Activity,2024,2025
All Industries (Excluding PWs),587,586
Construction,146,135
Smaller Scale Works (e.g. Addition & Alteration works and Renovation),96,90
Regular Construction,47,38
Work-related Traffic Accidents,3,7
Manufacturing,123,120
Metalworking,47,35
"Manufacture of Food, Beverages & Tobacco",32,39
Manufacture of Furniture,6,12
Manufacture of Petroleum Products & Chemical Products,6,7
Manufacture of Paper / Rubber / Plastic Products & Printing,4,7
Transportation& Storage,40,57
Logistics & Transport,35,47
Accommodation &Food Service Activities,50,57
Food & Beverage Service Activities,35,44
Accommodation,15,13
Administrative& Support Service Activities,43,39
Cleaning & Landscape Maintenance Activities,25,23
Security & Investigation Activities,11,8
Wholesale & Retail Trade,45,34
Wholesale Trade,27,19
Retail Trade,18,15
Marine,17,12
Real Estate Activities,12,12
"Professional, Scientific & Technical Activities",10,17
"Community, Social & Personal Services",85,80
Health & Social Services,34,25
Education,26,18
Other Services Activities,12,23
All Industries (Excluding PWs),15.9,15.7
Construction,27.3,24.0
Smaller Scale Works (e.g. Addition & Alteration works and Renovation),n.a.,n.a.
Regular Construction,n.a.,n.a.
Work-related Traffic Accidents,n.a.,n.a.
Manufacturing,28.9,27.9
Metalworking,45.4,34.1
"Manufacture of Food, Beverages & Tobacco",50.3,58.3
Manufacture of Furniture,n.a.,n.a.
Manufacture of Petroleum Products & Chemical Products,n.a.,n.a.
Manufacture of Paper / Rubber / Plastic Products & Printing,16.1,28.8
Transportation& Storage,15.1,21.2
Logistics & Transport,29.9,40.6
Accommodation &Food Service Activities,18.5,21.1
Food & Beverage Service Activities,14.7,18.7
Accommodation,44.6,37.6
Administrative& Support Service Activities,17.3,15.4
Cleaning & Landscape Maintenance Activities,29.8,26.5
Security & Investigation Activities,22.1,16.1
Wholesale & Retail Trade,9.9,7.6
Wholesale Trade,9.0,6.5
Retail Trade,11.5,9.7
Marine,27.7,18.8
Real Estate Activities,14.7,15.4
"Professional, Scientific & Technical Activities",3.5,6.0
"Community, Social & Personal Services",13.4,12.3
Health & Social Services,16.0,11.3
Education,n.a.,n.a.
Other Services Activities,n.a.,n.a.
T otal (Excluding PWs),587,586
"Crushing, Fractures and Dislocations: Head, Back, Chest and Abdomen, Neck, Hip and Pelvis",354,368
Amputations,105,94
Multiple Injuries,51,51
"Burns, With More Than 20 MC Days",45,45
Exposure to/ Contact with Electric Current,20,12
"Concussion, With More Than 20 MC Days",9,12
Blindness,1,0
D eafness,1,1
Sprains and Strains,1,0
Others,0,2
Total Workplace Major Injuries (Excluding PWs),587,586
Type A (higher fatality risk),211,212
Type B (Lower fatality risk),376,374
