0,1
MNT,maternal and neonatal tetanus
MRSA,methicillin-resistant Staphylococcus aureus
NCDs,noncommunicable diseases
NMR,neonatal mortality rate
NTDs,neglected tropical diseases
ODA,official development assistance
OOP,out-of-pocket (health spending)
PAB,protection at birth
PCV3,pneumococcal-conjugate vaccine third dose
PM2.5,fine particulate matter less than 2.5μm in diameter
RMNCH,"reproductive, maternal, newborn and child health"
SDG,Sustainable Development Goal
SPAR,States Parties Self-Assessment Annual Reporting Tool
SPL,societal poverty line
TB,tuberculosis
U5MR,under-five mortality rate
UHC,universal health coverage
UI,uncertainty interval
UMIC,upper-middle-income country
UNAIDS,Joint United Nations Programme on HIV/AIDS
USAID,United States Agency for International Development
WASH,"water, sanitation and hygiene"
WHA,World Health Assembly
WHO,World Health Organization
