Industry,2024,2025,2024 [N],2025 [N]
All Industries (Excluding PWs),310,304,584,592
Manufacturing,513,492,828,818
Metalworking,805,807,"1,224","1,202"
"Manufacture of Food, Beverages & Tobacco",778,707,"1,329","1,232"
"Manufacture of Computer, Electronic &Optical Products",186,178,345,421
Manufacture of Paper / Rubber / Plastic Products & Printing,512,440,762,704
Construction,358,319,492,430
Accommodation &Food Service Activities,512,504,"1,111","1,070"
Food & Beverage Service Activities,368,382,732,734
Accommodation,"1,527","1,329","3,789","3,358"
Transportation& Storage Logistics & Transport,323 567,335 607,"576 1,027","620 1,139"
Administrative& Support Service Activities,330,320,586,594
Cleaning & Landscape Maintenance Activities,490,488,782,808
Security & Investigation Activities,434,438,912,954
Wholesale & Retail Trade,156,158,289,300
Wholesale Trade,113,128,182,198
Retail Trade,237,214,494,494
"Professional, Scientific & Technical Activities",133,148,274,298
Marine,388,301,614,536
Real Estate Activities,294,299,499,566
Financial & Insurance Services,56,53,143,91
"Water Supply; Sewerage, Waste Management & Remediation Activities",n.a.,n.a.,n.a.,n.a.
"Services Community, Social & Personal",347,360,849,947
Health & Social Services,544,599,"1,662","1,885"
Other Services Activities,n.a.,n.a.,n.a.,n.a.
"Arts, Entertainment &Recreation",375,304,673,631
