0,1,2
1.1,Industry and its direct and indirect links with other SDGs . . . . . . . . . . . . . .,6
1.2,Relationship between MVA per capita and overall SDG Index . . . . . . . . . . . .,7
1.3,Relationship between the growth rate of MVA per capita and HDI . . . . . . . . .,8
1.4,Average annual HDI growth rate by manufacturing performance . . . . . . . . . .,8
2.1,Distribution of value added by industrial sector and region . . . . . . . . . . . .,14
2.2,Growth rate of GDP and industry value added by country group . . . . . . . . . .,15
2.3,Growth rate of value added by sector and region . . . . . . . . . . . . . . . . . .,16
2.4,Contribution of MVA and MUVA to industry value added growth by country group,17
2.5,Global index of industrial production by industrial sector . . . . . . . . . . . . .,18
2.6,Global index of manufacturing and electricity production by country group . . .,19
2.7,Global trends in SDG target 9.2 . . . . . . . . . . . . . . . . . . . . . . . . . . . .,21
2.8,Proportion of manufacturing in GDP and in employment by region . . . . . . . .,22
2.9,SDG 9.3.1: Share of small-scale industries in total industry value added . . . . .,24
2.10,SDG 9.3.2: Proportion of small-scale industries with a loan or line of credit . . .,25
2.11,SDG 9.4.1: CO 2 emissions from manufacturing per unit of MVA . . . . . . . . . . .,26
2.12,Global trends in SDG target 9.b . . . . . . . . . . . . . . . . . . . . . . . . . . . .,28
2.13,SDG 9.b.1:Proportion of MHT value added in total MVA by country group . . . . .,28
2.14,Top ten economies in the SDG 9 Industry Index . . . . . . . . . . . . . . . . . . .,30
2.15,Average score in the SDG 9 Industry Index by country group . . . . . . . . . . . .,31
2.16,Top ten economies in the CIP Index . . . . . . . . . . . . . . . . . . . . . . . . . .,33
2.17,Economies with the largest increases and decreases in CIP rankings . . . . . . .,34
2.18,Average rank in the CIP Index by country group . . . . . . . . . . . . . . . . . . .,35
2.19,Average rank in the CIP Index by dimension and country group . . . . . . . . . .,35
2.20,Average rank in the CIP Index by region . . . . . . . . . . . . . . . . . . . . . . .,37
2.21,Average rank in the CIP Index by dimension and region . . . . . . . . . . . . . . .,37
2.22,Average rank in the CIP Index by subregion . . . . . . . . . . . . . . . . . . . . .,39
3.1,MVA as a proportion of GDP by country . . . . . . . . . . . . . . . . . . . . . . . .,44
3.2,MVA as a proportion of world MVA by region . . . . . . . . . . . . . . . . . . . . .,45
3.3,Growth rate of global value added by manufacturing industry . . . . . . . . . . .,46
3.4,Index of global manufacturing (2015 = 100) . . . . . . . . . . . . . . . . . . . . .,47
3.5,Index of manufacturing production by country group . . . . . . . . . . . . . . . .,48
3.6,Index of manufacturing production by region . . . . . . . . . . . . . . . . . . . .,49
3.7,Index of manufacturing production by technological intensity . . . . . . . . . . .,50
3.8,MVA composition by industries according to technological intensity . . . . . . . .,52
3.9,MVA composition by industries according to technological intensity by income groups,53
3.10,Share of manufacturing industries in MVA by country groups . . . . . . . . . . . .,54
3.11,Proportion of MHT industries in total MVA by main regions . . . . . . . . . . . . .,56
3.12,"MVA composition by industries for selected economic blocs, 2023 . . . . . . . .",57
3.13,"Contribution of EU and MERCOSUR to global manufacturing activities, 2023 . . .",58
3.14,Annual growth rate of global exports . . . . . . . . . . . . . . . . . . . . . . . . .,61
3.15,"Annual growth rate of manufacturing exports and imports, by region . . . . . . .",62
3.16,Quarter-over-quarter growth rate of manufacturing exports . . . . . . . . . . . .,63
3.17,"Quarter-over-quarter growth rate of manufacturing exports, by region . . . . . .",64
3.18,Distribution of global exports in absolute values . . . . . . . . . . . . . . . . . .,65
3.19,"Distribution of global manufacturing exports and imports, by country group . . .",66
3.20,"Share of manufacturing exports in total exports, 2024 . . . . . . . . . . . . . . .",67
3.21,Distribution of manufacturing exports by technological intensity and region . . .,67
3.22,Distribution of global manufacturing exports and imports . . . . . . . . . . . . .,68
3.23,"Manufacturing exports, imports, and trade balance by UNIDO country group . . .",70
3.24,Normalized trade balance of total and higher-technology manufactured goods .,71
3.25,Quarterly normalized trade balance of total and higher-tech manufactured goods,71
3.26,"Global MVA, manufacturing employment, and labour productivity . . . . . . . . .",72
3.27,"MVA, manufacturing employment, and labour productivity by region . . . . . . .",73
3.28,MVA per person employed by country group . . . . . . . . . . . . . . . . . . . . .,74
3.29,Manufacturing employment as proportion of total employment . . . . . . . . . .,75
3.30,Year-over-year growth rates of manufacturing employment by country group . .,76
3.31,Growth rate of manufacturing employment by sex . . . . . . . . . . . . . . . . .,78
3.32,Share of women in manufacturing employment by country group . . . . . . . . .,78
3.33,Distribution of global manufacturing employment by sex and industry group . .,79
3.34,Distribution of global manufacturing employment by sex and education level . .,80
3.35,Share of global manufacturing employment by gender and occupational level . .,81
3.36,CO 2 emissions from fuel combustion by manufacturing industry . . . . . . . . . .,83
3.37,Global MVA and CO 2 emissions from manufacturing . . . . . . . . . . . . . . . . .,84
3.38,CO 2 emissions from manufacturing per unit of MVA by region . . . . . . . . . . .,85
4.1,MUVA as a proportion of GDP by country . . . . . . . . . . . . . . . . . . . . . . .,91
4.2,MUVA as a proportion of world MUVA by region . . . . . . . . . . . . . . . . . . .,92
4.3,Indices of production in the mining and electricity sectors . . . . . . . . . . . . .,94
4.4,Quarter-over-quarter growth rate of mining production by region . . . . . . . . .,95
4.5,Quarter-over-quarter growth rate of electricity production by region . . . . . . .,95
4.6,"Regional development of mineral raw materials production, 1985 and 2023 . . .",97
4.7,Development of mineral raw materials production by broad category . . . . . . .,98
4.8,Comparative overview of the change in mineral fuels production by individual fuel,100
4.9,"Mineral raw materials production by volume and value, 2023 . . . . . . . . . . .",101
4.10,"Change of non-fuel minerals production by mineral group, 2000 and 2023 . . . .",102
4.11,"Regional composition of non-fuels minerals production, 2023 . . . . . . . . . . .",103
4.12,"Global concentration of non-fuel minerals production by mineral group, 2023 . .",104
4.13,"Non-fuel minerals with a high producer concentration, 2023 . . . . . . . . . . . .",105
4.14,"Recent growth dynamics for mineral commodities, 2019-2023 . . . . . . . . . . .",107
5.1,Global MVA and energy consumption of the manufacturing sector . . . . . . . . .,113
C.1,Data availability of quarterly IIP indices . . . . . . . . . . . . . . . . . . . . . . .,147
