Industry/ Work Activity,2024,2025
All Industries (Including PWs),43,36
Construction,20,13
Regular Construction,13,7
Smaller Scale Works (e.g. Addition & Alteration works and Renovation),7,5
Work-related Traffic Accidents,0,1
Transportation& Storage,9,7
Logistics & Transport,4,4
Manufacturing,2,4
Metalworking,1,2
"Manufacture of Food, Beverages and Tobacco",1,1
Manufacture of Other Non-Metallic Mineral Products,0,1
Marine,5,1
Real Estate Activities,1,0
Accommodation &Food Service Activities,1,1
Food & Beverage Service Activities,1,1
Administrative& Support Service Activities,0,3
Cleaning & Landscape Maintenance Activities,0,2
"Water Supply; Sewerage, Waste Management &Remediation Activities",3,1
Wholesale & Retail Trade,1,2
Wholesale Trade,1,1
Retail Trade,0,1
"Professional, Scientific & Technical Activities",0,2
"Community, Social & Personal Services",1,0
Public Administration & Defence,1,0
Platform Workers,0,2
All Industries (Including PWs),1.2,0.96
Construction,3.7,2.3
Regular Construction,n.a.,n.a.
Smaller Scale Works (e.g. Addition & Alteration works and Renovation),n.a.,n.a.
Work-related Traffic Accidents,n.a.,n.a.
Transportation& Storage,3.4,2.6
Logistics & Transport,3.4,3.5
Manufacturing,0.5,0.9
Metalworking,1.0,1.9
"Manufacture of Food, Beverages and Tobacco",1.6,1.5
Manufacture of Other Non-Metallic Mineral Products,n.a.,n.a.
Marine,8.1,1.6
Real Estate Activities,1.2,0.0
Accommodation &Food Service Activities,0.4,0.4
Food & Beverage Service Activities,0.4,0.4
Administrative& Support Service Activities,0.0,1.2
Cleaning & Landscape Maintenance Activities,0.0,2.3
"Water Supply; Sewerage, Waste Management &Remediation Activities",n.a.,n.a.
Wholesale & Retail Trade,0.2,0.4
Wholesale Trade,0.3,0.3
Retail Trade,0.0,0.6
"Professional, Scientific & Technical Activities",0.0,0.7
"Community, Social & Personal Services",0.2,0.0
Public Administration & Defence,n.a.,n.a.
Platform Workers,0,2.2
Total Workplace Fatal Injuries (Including PWs),43,36
Type A (higher fatality risk),38,34
Type B (Lower fatality risk),5,2
